competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-02,SANTOS,Petrobras,4190711.2415,182185.0024,309368.8928,640,82.637,273.44,6.87,6547.99
2022-02,SANTOS,TotalEnergies EP,113412.5974,5133.7904,3966.8306,11,2.236,284.72,3.38,10310.24
2022-02,SOLIMOES,Petrobras,13104.3249,8909.0919,20766.9409,104,0.258,4276.19,61.31,126.0
2022-03,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-03,CAMPOS,Perenco Brasil,4901.8243,37.5208,38122.4673,41,0.095,48.15,88.61,119.56
2022-03,CAMPOS,Petro Rio Jaguar,15564.005,196.1816,23193.0373,11,0.301,79.28,59.84,1414.91
2022-03,CAMPOS,Petro Rio O&G,18531.0422,97.166,49690.5158,21,0.359,32.98,72.84,882.43
2022-03,CAMPOS,Petrobras,672154.1162,14763.9428,1006682.9348,503,13.012,138.16,59.96,1336.29
2022-03,CAMPOS,Shell Brasil,27436.3686,277.3334,101717.9091,29,0.531,63.58,78.76,946.08
2022-03,CAMPOS,Trident Energy,8034.4878,102.449,36422.5492,100,0.156,80.2,81.93,80.34
2022-03,SANTOS,Enauta Energia,12209.7752,75.6862,3616.5596,3,0.236,38.99,22.85,4069.93
2022-03,SANTOS,Karoon Brasil,9307.6805,62.3414,13342.7676,6,0.18,42.13,58.91,1551.28
2022-03,SANTOS,Petrobras,4271783.4419,184069.7648,333862.4738,654,82.694,271.03,7.25,6531.78
2022-03,SANTOS,TotalEnergies EP,112158.2242,4873.7464,3483.804,11,2.171,273.32,3.01,10196.2
2022-03,SOLIMOES,Petrobras,13667.3192,9477.2948,22828.0598,104,0.265,4361.54,62.55,131.42
2022-04,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-04,CAMPOS,Perenco Brasil,8321.303100000001,50.8311,61703.9889,42,0.159,38.42,88.12,198.13
2022-04,CAMPOS,Petro Rio Jaguar,14821.6648,180.7954,21426.1896,11,0.284,76.72,59.11,1347.42
2022-04,CAMPOS,Petro Rio O&G,17950.9396,90.6979,47841.4863,21,0.344,31.78,72.72,854.81
2022-04,CAMPOS,Petrobras,681082.147,15690.4515,1047760.4085,498,13.047,144.9,60.6,1367.63
2022-04,CAMPOS,Shell Brasil,6125.3653,60.7551,30146.7783,29,0.117,62.39,83.11,211.22
2022-04,CAMPOS,Trident Energy,12767.8213,183.9607,51484.3222,100,0.245,90.62,80.13,127.68
2022-04,SANTOS,Enauta Energia,12169.0799,77.9654,4159.6401000000005,3,0.233,40.3,25.47,4056.36
2022-04,SANTOS,Karoon Brasil,12964.4531,82.18090000000001,18727.8371,6,0.248,39.87,59.09,2160.74
2022-04,SANTOS,Petrobras,4325565.3629,185673.7862,253019.1699,650,82.862,269.99,5.53,6654.72
2022-04,SANTOS,TotalEnergies EP,114496.397,4547.1968,3640.995,11,2.193,249.8,3.08,10408.76
2022-04,SOLIMOES,Petrobras,13950.6519,9966.6609,23594.6404,104,0.267,4493.59,62.84,134.14
2022-05,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-05,CAMPOS,Perenco Brasil,10406.202,53.1062,78283.7196,43,0.206,32.1,88.27,242.0
2022-05,CAMPOS,Petro Rio Jaguar,15367.6939,184.3536,23719.8028,11,0.305,75.45,60.68,1397.06
2022-05,CAMPOS,Petro Rio O&G,17650.6902,90.9999,51125.1939,21,0.35,32.43,74.34,840.51
2022-05,CAMPOS,Petrobras,603044.6874,14998.9465,1027026.5174,500,11.952,156.44,63.01,1206.09
2022-05,CAMPOS,Shell Brasil,0.0,0.0,0.0,29,0.0,,,0.0
2022-05,CAMPOS,Trident Energy,22169.6685,327.2638,92613.6556,101,0.439,92.85,80.69,219.5
2022-05,SANTOS,Enauta Energia,11140.7752,70.6186,4313.4097,3,0.221,39.87,27.91,3713.59
2022-05,SANTOS,Karoon Brasil,12327.6505,78.01769999999999,17554.4139,6,0.244,39.81,58.75,2054.61
2022-05,SANTOS,Petrobras,4226511.0536,179739.0354,237352.2962,660,83.764,267.48,5.32,6403.8
2022-05,SANTOS,TotalEnergies EP,114002.0516,4250.2286,4202.6484,11,2.259,234.5,3.56,10363.82
2022-05,SOLIMOES,Petrobras,13102.6482,9259.7788,22428.3838,104,0.26,4445.08,63.12,125.99
2022-06,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-06,CAMPOS,Perenco Brasil,9643.9874,47.1633,75233.3852,43,0.195,30.76,88.64,224.28
2022-06,CAMPOS,Petro Rio Jaguar,14049.6009,186.4645,18481.6359,9,0.284,83.48,56.81,1561.07
2022-06,CAMPOS,Petro Rio O&G,17329.5963,95.9214,48527.8879,21,0.35,34.81,73.69,825.22
2022-06,CAMPOS,Petrobras,607876.8412,14273.7722,965235.9364,498,12.271,147.69,61.36,1220.64
2022-06,CAMPOS,Shell Brasil,12358.5345,102.8851,36003.4273,29,0.249,52.36,74.45,426.16
2022-06,CAMPOS,Trident Energy,20784.2906,279.0969,77451.5,101,0.42,84.46,78.84,205.79
2022-06,SANTOS,Enauta Energia,10988.4993,69.7466,4870.4514,3,0.222,39.92,30.71,3662.83
2022-06,SANTOS,Karoon Brasil,10343.0895,65.94569999999999,13870.5065,6,0.209,40.1,57.28,1723.85
2022-06,SANTOS,Petrobras,4123550.8668,171643.8378,253835.2264,659,83.244,261.82,5.8,6257.29
2022-06,SANTOS,TotalEnergies EP,113497.1348,4242.812,3456.5442000000003,11,2.291,235.13,2.96,10317.92
2022-06,SOLIMOES,Petrobras,13149.0468,9360.857,24048.0724,104,0.265,4477.75,64.65,126.43
2022-07,CAMPOS,Equinor Brasil,14811.2392,20.5152,36406.3552,40,0.286,8.71,71.08,370.28
2022-07,CAMPOS,Perenco Brasil,9182.4835,30.4227,68041.7974,45,0.178,20.84,88.11,204.06
2022-07,CAMPOS,Petro Rio Jaguar,27811.0748,320.5489,21234.6562,12,0.538,72.5,43.3,2317.59
2022-07,CAMPOS,Petro Rio O&G,17360.4823,74.3235,51256.0496,21,0.336,26.93,74.7,826.69
2022-07,CAMPOS,Petrobras,554591.8757,10983.9012,911878.1416,497,10.721,124.57,62.18,1115.88
2022-07,CAMPOS,Shell Brasil,22832.0057,187.1069,62765.5645,29,0.441,51.54,73.33,787.31
2022-07,CAMPOS,Trident Energy,20909.6355,350.5566,84120.9759,101,0.404,105.45,80.09,207.03
2022-07,SANTOS,Enauta Energia,333.9909,1.9975,144.3999,3,0.006,37.62,30.18,111.33
2022-07,SANTOS,Karoon Brasil,14004.0961,86.4657,20840.0795,6,0.271,38.84,59.81,2334.02
2022-07,SANTOS,Petrobras,4363526.4338,186166.1197,262105.3314,675,84.353,268.35,5.67,6464.48
2022-07,SANTOS,TotalEnergies EP,114604.2704,4269.1502,3108.2454,11,2.215,234.3,2.64,10418.57
2022-07,SOLIMOES,Petrobras,12960.4699,9429.9184,24307.4,104,0.251,4576.42,65.22,124.62
2022-08,CAMPOS,Equinor Brasil,55124.2613,93.541,99692.6154,40,1.028,10.67,64.39,1378.11
2022-08,CAMPOS,Perenco Brasil,9808.7617,31.5979,79103.5933,45,0.183,20.26,88.97,217.97
2022-08,CAMPOS,Petro Rio Jaguar,22374.5281,246.507,15657.1814,11,0.417,69.3,41.17,2034.05
2022-08,CAMPOS,Petro Rio O&G,17038.5008,77.6882,52261.0991,20,0.318,28.68,75.41,851.93
2022-08,CAMPOS,Petrobras,621592.8047,12760.0028,1000348.081,486,11.587,129.12,61.68,1279.0
2022-08,CAMPOS,Shell Brasil,39227.1161,399.7554,99385.1885,29,0.731,64.1,71.7,1352.66
2022-08,CAMPOS,Trident Energy,22661.2146,453.2624,88380.0093,101,0.422,125.81,79.59,224.37
2022-08,SANTOS,Enauta Energia,3045.1608,19.302,1331.8896,3,0.057,39.87,30.43,1015.05
2022-08,SANTOS,Karoon Brasil,12284.5505,76.9958,23710.5757,6,0.229,39.42,65.87,2047.43
2022-08,SANTOS,Petrobras,4435459.8688,190456.9002,282248.6798,646,82.68,270.08,5.98,6866.04
2022-08,SANTOS,TotalEnergies EP,112646.3418,4378.0282,3065.4178,11,2.1,244.46,2.65,10240.58
2022-08,SOLIMOES,Petrobras,13372.8236,9292.815,23907.254,104,0.249,4370.82,64.13,128.58
2022-09,CAMPOS,Equinor Brasil,60299.1537,82.9138,92284.7785,41,1.108,8.65,60.48,1470.71
2022-09,CAMPOS,Perenco Brasil,10256.1489,37.8865,71353.0148,44,0.188,23.23,87.43,233.09
2022-09,CAMPOS,Petro Rio Jaguar,32639.7614,355.6354,24480.4101,11,0.6,68.53,42.86,2967.25
2022-09,CAMPOS,Petro Rio O&G,17079.8848,70.9532,51526.3493,21,0.314,26.13,75.1,813.33
2022-09,CAMPOS,Petrobras,659513.784,15242.8102,963123.2161,239,12.115,145.37,59.36,2759.47
2022-09,CAMPOS,Shell Brasil,38084.5458,367.9112,80293.3468,29,0.7,60.76,67.83,1313.26
2022-09,CAMPOS,Trident Energy,22317.989,311.2618,93695.616,101,0.41,87.72,80.76,220.97
2022-09,SANTOS,Enauta Energia,5488.3645,44.9799,2252.4837,3,0.101,51.55,29.1,1829.45
2022-09,SANTOS,Karoon Brasil,15757.6316,100.0369,29459.3735,6,0.289,39.93,65.15,2626.27
2022-09,SANTOS,Petrobras,4459706.0396,193924.9283,310151.1745,626,81.924,273.51,6.5,7124.13
2022-09,SANTOS,TotalEnergies EP,109711.8184,4562.9884,2804.7814,11,2.015,261.6,2.49,9973.8
2022-09,SOLIMOES,Petrobras,12885.5367,8618.3039,22722.4825,67,0.237,4206.86,63.81,192.32
2022-10,CAMPOS,Equinor Brasil,65391.7734,109.1681,97196.1897,42,1.16,10.5,59.78,1556.95
2022-10,CAMPOS,Perenco Brasil,11042.5581,35.7021,67857.0718,46,0.196,20.34,86.0,240.06
2022-10,CAMPOS,Petro Rio Jaguar,31061.5816,345.2473,26445.0517,11,0.551,69.91,45.99,2823.78
2022-10,CAMPOS,Petro Rio O&G,16506.3057,70.4338,49162.8766,21,0.293,26.84,74.86,786.01
2022-10,CAMPOS,Petrobras,645187.6361,14700.6211,841885.204,233,11.444,143.31,56.61,2769.05
2022-10,CAMPOS,Shell Brasil,41813.4912,404.4768,100213.7128,29,0.742,60.84,70.56,1441.84
2022-10,CAMPOS,Trident Energy,17456.1815,282.1968,60142.9514,102,0.31,101.68,77.5,171.14
2022-10,SANTOS,Enauta Energia,14744.8344,121.4074,7299.9839,3,0.262,51.79,33.11,4914.94
2022-10,SANTOS,Karoon Brasil,23390.4823,152.1991,30344.6596,6,0.415,40.93,56.47,3898.41
2022-10,SANTOS,Petrobras,4646779.1693,206732.6347,322021.2022,624,82.42,279.83,6.48,7446.76
2022-10,SANTOS,TotalEnergies EP,111198.1434,4742.9594,2801.6884,11,1.972,268.28,2.46,10108.92
2022-10,SOLIMOES,Petrobras,13331.1823,9679.3574,22982.7735,66,0.236,4566.84,63.29,201.99
2022-11,CAMPOS,3R Petroleum Off,17536.1475,68.2047,26.5451,3,0.328,24.46,0.15,5845.38
2022-11,CAMPOS,Equinor Brasil,73726.297,143.0251,98954.9287,42,1.377,12.2,57.3,1755.39
2022-11,CAMPOS,Perenco Brasil,9840.9895,33.4881,58161.0025,47,0.184,21.4,85.53,209.38
2022-11,CAMPOS,Petro Rio Jaguar,30770.4529,342.0619,26625.7638,11,0.575,69.92,46.39,2797.31
2022-11,CAMPOS,Petro Rio O&G,15712.8574,66.0789,51929.2679,21,0.294,26.45,76.77,748.23
2022-11,CAMPOS,Petrobras,604861.9411,13886.1986,893587.9331,236,11.299,144.4,59.63,2562.97
2022-11,CAMPOS,Shell Brasil,26288.4116,227.0998,67750.3539,29,0.491,54.34,72.05,906.5
2022-11,CAMPOS,Trident Energy,18805.9398,289.1981,69587.5038,102,0.351,96.73,78.72,184.37
2022-11,SANTOS,Enauta Energia,12852.9584,95.3573,6407.691500000001,3,0.24,46.66,33.27,4284.32
2022-11,SANTOS,Karoon Brasil,21750.2152,136.8764,31240.8959,6,0.406,39.58,58.95,3625.04
2022-11,SANTOS,Petrobras,4451875.972,195460.1671,270324.6346,615,83.161,276.16,5.72,7238.82
2022-11,SANTOS,TotalEnergies EP,56736.988000000005,2132.6962,1384.4124000000002,11,1.06,236.43,2.38,5157.91
2022-11,SOLIMOES,Petrobras,12588.1761,9275.6809,21009.4989,68,0.235,4634.7,62.53,185.12
2022-12,CAMPOS,3R Petroleum Off,17927.790399999998,76.2619,101.2016,3,0.335,26.76,0.56,5975.93
2022-12,CAMPOS,Equinor Brasil,81496.042,164.447,86990.4115,44,1.521,12.69,51.63,1852.18
2022-12,CAMPOS,Perenco Brasil,10971.9644,34.8669,62143.6059,47,0.205,19.99,84.99,233.45
2022-12,CAMPOS,Petro Rio Jaguar,51501.5991,727.6821,79039.4582,29,0.961,88.87,60.55,1775.92
2022-12,CAMPOS,Petro Rio O&G,13992.2991,61.4256,51017.2077,20,0.261,27.61,78.48,699.61
2022-12,CAMPOS,Petrobras,546770.3992,11744.0766,823904.1851,207,10.206,135.1,60.11,2641.4
2022-12,CAMPOS,Shell Brasil,12042.438,124.8795,26650.2035,29,0.225,65.23,68.88,415.26
2022-12,CAMPOS,Trident Energy,22881.9414,387.2555,94660.5053,102,0.427,106.45,80.53,224.33
2022-12,SANTOS,Enauta Energia,12958.4005,100.244,6599.3478,3,0.242,48.66,33.74,4319.47
2022-12,SANTOS,Karoon Brasil,22772.3733,149.3505,32471.7833,6,0.425,41.25,58.78,3795.4
2022-12,SANTOS,Petrobras,4512116.2242,197264.795,361196.8138,624,84.226,274.98,7.41,7230.96
2022-12,SANTOS,TotalEnergies EP,39574.673,1416.0528,1556.444,11,0.739,225.06,3.78,3597.7
2022-12,SOLIMOES,Petrobras,12120.2027,9030.3422,20167.8566,68,0.226,4686.33,62.46,178.24
