competencia,bacia_norm,operador,petroleo_bbl_dia,gas_mm3_dia,agua_bbl_dia,pocos,participacao_pct,rgo_m3_m3,water_cut_pct,produtividade_bbl_dia_poco
2022-01,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-01,CAMPOS,Perenco Brasil,8203.9904,43.8779,54097.6455,41,0.156,33.64,86.83,200.1
2022-01,CAMPOS,Petro Rio Jaguar,15878.8973,197.879,23775.4697,11,0.303,78.38,59.96,1443.54
2022-01,CAMPOS,Petro Rio O&G,17882.5811,97.7209,51785.247,21,0.341,34.37,74.33,851.55
2022-01,CAMPOS,Petrobras,739961.6572,17998.4986,1104365.8803,503,14.114,152.99,59.88,1471.1
2022-01,CAMPOS,Shell Brasil,29984.2357,303.8469,99189.6767,29,0.572,63.74,76.79,1033.94
2022-01,CAMPOS,Trident Energy,14554.4174,168.159,62467.2613,100,0.278,72.67,81.1,145.54
2022-01,SANTOS,Enauta Energia,6283.7981,46.0118,1702.9194,3,0.12,46.06,21.32,2094.6
2022-01,SANTOS,Karoon Brasil,13077.7011,85.5016,17983.728,6,0.249,41.12,57.9,2179.62
2022-01,SANTOS,Petrobras,4268799.3035,185136.5517,282880.3689,650,81.421,272.79,6.21,6567.38
2022-01,SANTOS,TotalEnergies EP,114318.4898,5369.4644,3315.1074,11,2.18,295.43,2.82,10392.59
2022-01,SOLIMOES,Petrobras,13954.3512,9729.6036,22340.7891,104,0.266,4385.55,61.55,134.18
2022-02,CAMPOS,Equinor Brasil,0.0,0.0,0.0,37,0.0,,,0.0
2022-02,CAMPOS,Perenco Brasil,7439.3404,52.0865,55586.9009,41,0.147,44.04,88.2,181.45
2022-02,CAMPOS,Petro Rio Jaguar,15695.5201,191.4907,23529.9861,11,0.31,76.74,59.99,1426.87
2022-02,CAMPOS,Petro Rio O&G,18967.8138,92.9892,53231.7114,21,0.374,30.84,73.73,903.23
2022-02,CAMPOS,Petrobras,654353.1955,15845.0858,921139.1172,504,12.903,152.31,58.47,1298.32
2022-02,CAMPOS,Shell Brasil,25196.4485,250.3122,94275.0363,29,0.497,62.49,78.91,868.84
2022-02,CAMPOS,Trident Energy,11294.5489,123.4124,49433.370500000005,100,0.223,68.73,81.4,112.95
2022-02,SANTOS,Enauta Energia,8250.3214,51.7925,2314.2278,3,0.163,39.49,21.91,2750.11
2022-02,SANTOS,Karoon Brasil,12782.7896,82.3125,18284.7345,6,0.252,40.5,58.85,2130.46
